data,temp_min,temp_max,temp_media,precipitacao
1961-01-01 00:00:00, 22.4, 31.0, 25.34, 0.0
1961-01-02 00:00:00, 22.8, 32.6, 26.56, 0.5
1961-01-03 00:00:00, 23.1, 32.6, 25.5, 2.3
1961-01-04 00:00:00, 22.4, 29.5, 24.58, 2.3
1961-01-05 00:00:00, 20.6, 31.4, 24.48, 76.6
1961-01-06 00:00:00, 23.0, 29.3, 24.94, 1.9
1961-01-07 00:00:00, 22.2, 32.6, 26.6, 1.7
1961-01-08 00:00:00, 22.4, 30.4, 24.68, 21.3
1961-01-09 00:00:00, 22.6, 28.4, 24.08, 18.4
1961-01-10 00:00:00, 21.7, 30.3, 25.32, 42.3
1961-01-11 00:00:00, 23.4, 30.4, 25.76, 18.5
1961-01-12 00:00:00, 23.0, 31.5, 25.82, 4.7
1961-01-13 00:00:00, 22.5, 27.4, 24.18, 0.0
1961-01-14 00:00:00, 22.0, 30.4, 24.96, 2.4
1961-01-15 00:00:00, 22.0, 33.0, 25.12, 1.5
1961-01-16 00:00:00, 22.3, 32.4, 25.7, 6.1
1961-01-17 00:00:00, 23.0, 31.3, 25.22, 8.9
1961-01-18 00:00:00, 22.5, 31.0, 25.32, 2.1
1961-01-19 00:00:00, 21.0, 32.6, 25.12, 0.2
1961-01-20 00:00:00, 20.7, 33.6, 26.64, 4.4
1961-01-21 00:00:00, 22.0, 32.5, 26.58, 0.0
1961-01-22 00:00:00, 22.0, 30.8, 25.16, 14.5
1961-01-23 00:00:00, 22.0, 32.0, 26.36, 0.4
1961-01-24 00:00:00, 22.7, 31.2, 25.86, 0.4
1961-01-25 00:00:00, 22.6, 28.8, 24.7, 27.3
1961-01-26 00:00:00, 22.5, 26.3, 23.68, 11.4
1961-01-27 00:00:00, 19.4, 24.9, 21.96, 61.0
1961-01-28 00:00:00, 20.8, 25.5, 22.5, 27.2
1961-01-29 00:00:00, 21.5, 27.7, 23.88, 21.5
1961-01-30 00:00:00, 22.4, 30.7, 25.14, 2.2
1961-01-31 00:00:00, 21.5, 31.5, 24.7, 2.1
1961-02-01 00:00:00, 22.0, 33.0, 26.28, 30.0
1961-02-02 00:00:00, 21.8, 31.0, 25.28, 0.0
1961-02-03 00:00:00, 20.1, 32.8, 24.34, 24.9
1961-02-04 00:00:00, 20.0, 33.2, 25.56, 5.8
1961-02-05 00:00:00, 22.2, 32.3, 25.58, 0.9
1961-02-06 00:00:00, 20.8, 33.2, 26.54, 8.7
1961-02-07 00:00:00, 21.2, 33.3, 26.1, 0.0
1961-02-08 00:00:00, 21.3, 31.6, 25.18, 3.8
1961-02-09 00:00:00, 19.5, 33.4, 26.26, 0.0
1961-02-10 00:00:00, 22.6, 32.3, 26.92, 0.0
1961-02-11 00:00:00, 22.4, 31.8, 26.12, 0.8
1961-02-12 00:00:00, 21.5, 30.3, 24.4, 6.1
1961-02-13 00:00:00, 21.6, 28.8, 24.12, 2.3
1961-02-14 00:00:00, 21.6, 32.6, 25.26, 15.6
1961-02-15 00:00:00, 22.0, 29.4, 24.22, 9.3
1961-02-16 00:00:00, 21.8, 29.4, 24.56, 0.0
1961-02-17 00:00:00, 21.7, 31.5, 25.16, 20.4
1961-02-18 00:00:00, 21.7, 31.6, 25.46, 0.4
1961-02-19 00:00:00, 22.2, 32.3, 26.48, 15.0
1961-02-20 00:00:00, 22.7, 30.1, 25.28, 0.0
1961-02-21 00:00:00, 22.8, 30.4, 25.2, 9.3
1961-02-22 00:00:00, 22.7, 30.2, 25.08, 4.6
1961-02-23 00:00:00, 22.9, 28.6, 24.88, 1.2
1961-02-24 00:00:00, 21.7, 31.4, 24.76, 42.0
1961-02-25 00:00:00, 21.5, 32.0, 25.0, 2.9
1961-02-26 00:00:00, 22.4, 30.2, 25.12, 11.1
1961-02-27 00:00:00, 22.7, 32.8, 25.54, 2.0
1961-02-28 00:00:00, 22.2, 25.8, 23.32, 18.9
1961-03-01 00:00:00, 21.6, 32.8, 25.92, 12.3
1961-03-02 00:00:00, 21.6, 34.4, 27.08, 0.0
1961-03-03 00:00:00, 23.1, 34.6, 27.58, 0.0
1961-03-04 00:00:00, 21.3, 34.6, 26.98, 0.0
1961-03-05 00:00:00, 22.7, 31.4, 24.9, 5.3
1961-03-06 00:00:00, 22.5, 29.6, 25.0, 42.6
1961-03-07 00:00:00, 22.7, 28.6, 24.72, 20.6
1961-03-08 00:00:00, 22.0, 26.0, 23.48, 35.6
1961-03-09 00:00:00, 22.5, 31.6, 25.56, 13.9
1961-03-10 00:00:00, 22.6, 34.7, 25.6, 0.4
1961-03-11 00:00:00, 21.7, 33.6, 26.22, 13.6
1961-03-12 00:00:00, 22.7, 33.8, 26.32, 0.9
1961-03-13 00:00:00, 23.2, 30.6, 25.6, 28.8
1961-03-14 00:00:00, 22.6, 32.0, 26.22, 0.0
1961-03-15 00:00:00, 23.0, 34.1, 26.7, 11.8
1961-03-16 00:00:00, 21.6, 32.7, 26.16, 2.1
1961-03-17 00:00:00, 19.5, 31.6, 23.26, 0.2
1961-03-18 00:00:00, 18.3, 23.8, 20.44, 49.2
1961-03-19 00:00:00, 19.0, 27.7, 22.6, 1.3
1961-03-20 00:00:00, 18.9, 31.3, 24.32, 0.2
1961-03-21 00:00:00, 21.0, 31.2, 24.32, 0.0
1961-03-22 00:00:00, 21.6, 34.0, 26.44, 26.4
1961-03-23 00:00:00, 22.1, 35.4, 27.36, 0.5
1961-03-24 00:00:00, 22.0, 35.0, 27.56, 0.0
1961-03-25 00:00:00, 23.5, 34.8, 28.02, 0.0
1961-03-26 00:00:00, 22.6, 33.6, 25.56, 1.1
1961-03-27 00:00:00, 21.3, 33.4, 24.62, 1.9
1961-03-28 00:00:00, 21.6, 32.6, 25.88, 40.1
1961-03-29 00:00:00, 21.2, 34.9, 26.96, 0.0
1961-03-30 00:00:00, 22.4, 33.6, 26.82, 0.0
1961-03-31 00:00:00, 21.2, 33.1, 24.88, 37.2
1961-04-01 00:00:00, 21.2, 33.0, 25.68, 3.1
1961-04-02 00:00:00, 23.0, 32.3, 25.72, 2.5
1961-04-03 00:00:00, 21.6, 32.4, 25.66, 0.4
1961-04-04 00:00:00, 21.7, 34.0, 26.34, 0.0
1961-04-05 00:00:00, 22.1, 32.2, 25.74, 0.0
1961-04-06 00:00:00, 21.4, 33.6, 24.98, 12.2
1961-04-07 00:00:00, 20.4, 35.0, 26.04, 0.0
1961-04-08 00:00:00, 21.4, 34.9, 27.96, 0.0
1961-04-09 00:00:00, 21.6, 33.4, 26.32, 0.0
1961-04-10 00:00:00, 21.7, 35.0, 27.52, 0.0
1961-04-11 00:00:00, 21.7, 33.6, 26.02, 0.0
1961-04-12 00:00:00, 21.5, 34.8, 27.18, 0.0
1961-04-13 00:00:00, 22.4, 33.8, 26.18, 0.0
1961-04-14 00:00:00, 21.3, 34.4, 26.16, 0.9
1961-04-15 00:00:00, 21.8, 33.2, 25.96, 0.0
1961-04-16 00:00:00, 21.9, 32.6, 25.82, 0.0
1961-04-17 00:00:00, 23.0, 34.6, 27.48, 0.0
1961-04-18 00:00:00, 22.8, 26.6, 23.82, 5.5
1961-04-19 00:00:00, 21.7, 32.2, 25.58, 0.9
1961-04-20 00:00:00, 22.6, 26.2, 24.18, 0.0
1961-04-21 00:00:00, 22.2, 30.4, 25.36, 3.4
1961-04-22 00:00:00, 21.8, 32.2, 25.64, 0.0
1961-04-23 00:00:00, 21.9, 30.4, 25.18, 0.0
1961-04-24 00:00:00, 23.0, 29.9, 24.96, 0.0
1961-04-25 00:00:00, 21.0, 32.0, 25.16, 0.0
1961-04-26 00:00:00, 22.5, 31.5, 24.94, 3.8
1961-04-27 00:00:00, 22.1, 30.0, 25.06, 0.0
1961-04-28 00:00:00, 22.7, 32.9, 26.34, 0.0
1961-04-29 00:00:00, 21.1, 30.4, 24.54, 49.0
1961-04-30 00:00:00, 21.0, 33.0, 25.92, 0.3
1961-05-01 00:00:00, 22.1, 34.0, 26.5, 0.2
1961-05-02 00:00:00, 22.2, 31.8, 25.88, 0.0
1961-05-03 00:00:00, 22.1, 31.0, 25.54, 1.5
1961-05-04 00:00:00, 21.4, 30.4, 24.32, 0.0
1961-05-05 00:00:00, 21.6, 33.6, 26.76, 0.0
1961-05-06 00:00:00, 22.0, 32.6, 26.5, 0.0
1961-05-07 00:00:00, 21.5, 32.2, 24.9, 0.0
1961-05-08 00:00:00, 20.7, 27.4, 23.78, 55.8
1961-05-09 00:00:00, 20.5, 32.4, 24.74, 0.0
1961-05-10 00:00:00, 20.7, 31.0, 25.38, 0.0
1961-05-11 00:00:00, 21.2, 32.2, 25.46, 0.0
1961-05-12 00:00:00, 21.9, 31.7, 24.64, 20.4
