data,temp_min,temp_max,temp_media,precipitacao
1969-10-01 00:00:00, 22.1, 32.6, 26.88, 0.0
1969-10-02 00:00:00, 22.1, 32.8, 26.86, 0.0
1969-10-03 00:00:00, 22.3, 32.3, 28.36, 0.0
1969-10-04 00:00:00, 25.1, 32.3, 27.72, 0.0
1969-10-05 00:00:00, 25.2, 32.5, 27.44, 0.0
1969-10-06 00:00:00, 22.6, 33.5, 26.94, 0.0
1969-10-07 00:00:00, 22.4, 36.0, 28.3, 0.0
1969-10-08 00:00:00, 19.6, 36.6, 27.72, 0.0
1969-10-09 00:00:00, 21.3, 34.4, 27.46, 0.0
1969-10-10 00:00:00, 21.5, 33.4, 27.14, 0.0
1969-10-11 00:00:00, 22.6, 0.0, 0.0, 0.0
1969-10-12 00:00:00, 0.0, 33.0, 0.0, 0.0
1969-10-13 00:00:00, 23.1, 33.3, 27.72, 0.0
1969-10-14 00:00:00, 21.8, 34.8, 27.68, 0.0
1969-10-15 00:00:00, 22.6, 33.1, 27.2, 0.0
1969-10-16 00:00:00, 22.8, 32.0, 26.62, 0.0
1969-10-17 00:00:00, 22.8, 32.8, 26.86, 0.0
1969-10-18 00:00:00, 21.3, 32.2, 26.52, 0.0
1969-10-19 00:00:00, 23.3, 34.3, 27.34, 0.0
1969-10-20 00:00:00, 23.8, 33.2, 27.54, 0.0
1969-10-21 00:00:00, 23.4, 33.4, 27.16, 0.0
1969-10-22 00:00:00, 22.7, 35.1, 27.58, 0.0
1969-10-23 00:00:00, 22.7, 34.7, 27.6, 0.0
1969-10-24 00:00:00, 23.3, 34.7, 27.68, 0.0
1969-10-25 00:00:00, 23.4, 33.9, 28.06, 0.0
1969-10-26 00:00:00, 23.0, 31.8, 26.56, 3.7
1969-10-27 00:00:00, 21.8, 32.4, 26.84, 0.0
1969-10-28 00:00:00, 21.6, 34.4, 27.54, 0.0
1969-10-29 00:00:00, 21.0, 34.2, 27.14, 0.0
1969-10-30 00:00:00, 23.6, 33.9, 27.68, 0.0
1969-10-31 00:00:00, 24.2, 33.3, 27.6, 0.0
1969-11-01 00:00:00, 22.4, 34.1, 27.28, 0.0
1969-11-02 00:00:00, 23.2, 33.6, 26.96, 0.0
1969-11-03 00:00:00, 21.2, 30.8, 27.92, 0.0
1969-11-04 00:00:00, 21.2, 32.2, 26.96, 0.0
1969-11-05 00:00:00, 24.0, 32.8, 27.62, 0.0
1969-11-06 00:00:00, 24.2, 33.2, 27.32, 0.0
1969-11-07 00:00:00, 23.9, 33.8, 27.7, 0.0
1969-11-08 00:00:00, 23.2, 34.7, 27.76, 0.0
1969-11-09 00:00:00, 22.8, 32.6, 27.12, 0.0
1969-11-10 00:00:00, 22.7, 32.6, 27.0, 0.0
1969-11-11 00:00:00, 23.4, 33.4, 27.74, 0.0
1969-11-12 00:00:00, 22.8, 33.7, 27.64, 0.0
1969-11-13 00:00:00, 22.2, 33.6, 27.6, 0.0
1969-11-14 00:00:00, 22.6, 34.1, 27.7, 0.0
1969-11-15 00:00:00, 23.3, 33.1, 27.72, 0.0
1969-11-16 00:00:00, 21.8, 33.1, 26.82, 0.0
1969-11-17 00:00:00, 24.0, 33.5, 28.26, 0.0
1969-11-18 00:00:00, 22.9, 33.5, 27.9, 0.0
1969-11-19 00:00:00, 22.4, 34.1, 27.54, 0.0
1969-11-20 00:00:00, 22.1, 34.7, 27.56, 0.0
1969-11-21 00:00:00, 21.2, 34.1, 27.42, 0.0
1969-11-22 00:00:00, 22.6, 34.2, 27.6, 0.0
1969-11-23 00:00:00, 22.8, 33.8, 27.16, 0.0
1969-11-24 00:00:00, 23.8, 32.7, 26.96, 0.0
1969-11-25 00:00:00, 23.0, 33.0, 27.32, 0.0
1969-11-26 00:00:00, 21.3, 34.3, 27.4, 0.0
1969-11-27 00:00:00, 23.0, 32.5, 27.12, 0.0
1969-11-28 00:00:00, 23.1, 32.3, 27.14, 0.0
1969-11-29 00:00:00, 22.9, 32.0, 27.12, 0.0
1969-11-30 00:00:00, 22.3, 32.8, 27.04, 0.0
1969-12-01 00:00:00, 22.8, 32.1, 26.98, 0.0
1969-12-02 00:00:00, 22.6, 32.0, 27.24, 0.0
1969-12-03 00:00:00, 24.7, 32.7, 27.58, 0.0
1969-12-04 00:00:00, 22.8, 34.1, 27.5, 0.0
1969-12-05 00:00:00, 22.5, 33.3, 27.2, 0.0
1969-12-06 00:00:00, 22.8, 33.6, 27.16, 0.0
1969-12-07 00:00:00, 22.2, 33.6, 27.46, 0.0
1969-12-08 00:00:00, 22.6, 33.8, 27.66, 0.0
1969-12-09 00:00:00, 23.2, 33.3, 27.54, 0.0
1969-12-10 00:00:00, 23.0, 32.8, 27.22, 0.0
1969-12-11 00:00:00, 22.5, 32.8, 27.34, 0.0
1969-12-12 00:00:00, 22.4, 34.1, 27.86, 0.0
1969-12-13 00:00:00, 22.2, 34.7, 27.66, 0.0
1969-12-14 00:00:00, 23.8, 34.0, 27.72, 0.0
1969-12-15 00:00:00, 23.2, 32.8, 27.04, 0.0
1969-12-16 00:00:00, 21.8, 32.6, 27.04, 0.0
1969-12-17 00:00:00, 22.0, 32.6, 27.56, 0.0
1969-12-18 00:00:00, 22.3, 32.9, 27.6, 0.0
1969-12-19 00:00:00, 23.1, 33.2, 27.68, 0.0
1969-12-20 00:00:00, 23.0, 32.3, 27.42, 0.0
1969-12-21 00:00:00, 23.8, 34.2, 27.98, 0.0
1969-12-22 00:00:00, 24.8, 34.2, 28.0, 0.0
1969-12-23 00:00:00, 23.7, 35.2, 27.98, 0.0
1969-12-24 00:00:00, 22.5, 33.8, 27.46, 0.0
1969-12-25 00:00:00, 22.6, 33.1, 27.2, 0.0
1969-12-26 00:00:00, 23.4, 32.8, 27.78, 0.0
1969-12-27 00:00:00, 22.8, 33.7, 28.02, 0.0
1969-12-28 00:00:00, 25.0, 35.2, 28.64, 0.0
1969-12-29 00:00:00, 24.1, 34.6, 28.16, 0.0
1969-12-30 00:00:00, 23.9, 36.4, 28.78, 0.0
1969-12-31 00:00:00, 24.2, 33.6, 28.1, 0.0
1970-01-01 00:00:00, 22.8, 35.2, 28.56, 0.0
1970-01-02 00:00:00, 23.5, 35.0, 28.82, 0.0
1970-01-03 00:00:00, 23.9, 33.9, 28.36, 0.0
1970-01-04 00:00:00, 25.4, 34.8, 28.54, 0.0
1970-01-05 00:00:00, 24.5, 34.8, 28.82, 0.0
1970-01-06 00:00:00, 24.2, 34.5, 28.76, 0.0
1970-01-07 00:00:00, 24.2, 34.2, 28.42, 0.0
1970-01-08 00:00:00, 23.8, 33.6, 27.84, 0.0
1970-01-09 00:00:00, 23.7, 32.8, 27.38, 0.0
1970-01-10 00:00:00, 23.8, 34.1, 27.8, 0.0
1970-01-11 00:00:00, 23.0, 33.4, 27.76, 0.0
1970-01-12 00:00:00, 23.0, 33.3, 27.26, 1.3
1970-01-13 00:00:00, 23.0, 33.4, 27.44, 0.0
1970-01-14 00:00:00, 22.4, 34.4, 27.8, 0.0
1970-01-15 00:00:00, 22.3, 34.6, 27.52, 0.0
1970-01-16 00:00:00, 24.4, 34.1, 27.94, 0.0
1970-01-17 00:00:00, 24.4, 32.6, 27.8, 0.0
1970-01-18 00:00:00, 23.8, 31.6, 27.28, 0.0
1970-01-19 00:00:00, 24.0, 31.6, 26.9, 1.0
1970-01-20 00:00:00, 22.2, 27.5, 24.8, 0.2
1970-01-21 00:00:00, 22.8, 30.5, 24.9, 4.0
1970-01-22 00:00:00, 22.2, 31.8, 26.58, 21.6
1970-01-23 00:00:00, 21.2, 31.0, 25.42, 40.0
1970-01-24 00:00:00, 22.6, 32.6, 27.34, 0.0
1970-01-25 00:00:00, 22.2, 32.8, 26.88, 0.0
