data,temp_min,temp_max,temp_media,precipitacao
1961-01-01 00:00:00, 19.0, 25.6, 22.52, 0.0
1961-01-02 00:00:00, 18.0, 26.5, 22.82, 70.2
1961-01-03 00:00:00, 19.0, 30.2, 24.5, 26.0
1961-01-04 00:00:00, 21.0, 32.0, 25.52, 0.0
1961-01-05 00:00:00, 20.0, 31.0, 25.34, 12.0
1961-01-06 00:00:00, 20.0, 26.0, 24.2, 4.2
1961-01-07 00:00:00, 19.0, 29.9, 24.46, 1.2
1961-01-08 00:00:00, 20.0, 28.5, 24.5, 5.0
1961-01-09 00:00:00, 21.0, 28.5, 25.3, 14.6
1961-01-10 00:00:00, 20.0, 27.2, 24.12, 1.0
1961-01-11 00:00:00, 20.0, 31.0, 24.56, 11.0
1961-01-12 00:00:00, 19.6, 30.6, 25.24, 0.7
1961-01-13 00:00:00, 20.0, 30.2, 25.2, 1.4
1961-01-14 00:00:00, 20.4, 30.2, 25.92, 0.0
1961-01-15 00:00:00, 21.6, 30.8, 26.48, 0.0
1961-01-16 00:00:00, 21.0, 32.4, 26.56, 0.0
1961-01-17 00:00:00, 21.0, 32.8, 27.08, 0.0
1961-01-18 00:00:00, 21.0, 31.4, 26.68, 1.0
1961-01-19 00:00:00, 20.0, 27.3, 25.06, 5.0
1961-01-20 00:00:00, 16.0, 32.4, 24.28, 20.0
1961-01-21 00:00:00, 20.0, 29.7, 24.74, 92.0
1961-01-22 00:00:00, 21.0, 32.2, 26.04, 0.0
1961-01-23 00:00:00, 20.0, 31.5, 25.78, 0.0
1961-01-24 00:00:00, 19.0, 32.2, 25.64, 0.0
1961-01-25 00:00:00, 20.0, 31.4, 25.28, 0.0
1961-01-26 00:00:00, 19.0, 28.3, 23.38, 0.0
1961-01-27 00:00:00, 16.0, 23.6, 19.12, 10.4
1961-01-28 00:00:00, 15.0, 21.3, 18.26, 14.3
1961-01-29 00:00:00, 15.0, 27.7, 21.74, 21.0
1961-01-30 00:00:00, 17.0, 30.4, 24.28, 0.0
1961-01-31 00:00:00, 16.0, 31.6, 24.88, 0.0
1961-02-01 00:00:00, 20.0, 33.4, 27.16, 0.0
1961-02-02 00:00:00, 22.0, 33.4, 27.88, 0.0
1961-02-03 00:00:00, 20.0, 32.4, 26.8, 1.5
1961-02-04 00:00:00, 21.0, 29.5, 25.02, 0.0
1961-02-05 00:00:00, 21.0, 31.6, 25.72, 11.0
1961-02-06 00:00:00, 19.8, 32.4, 26.64, 5.6
1961-02-07 00:00:00, 21.0, 34.5, 27.02, 0.0
1961-02-08 00:00:00, 21.6, 32.5, 26.78, 0.0
1961-02-09 00:00:00, 20.4, 32.6, 25.2, 36.0
1961-02-10 00:00:00, 20.0, 29.4, 25.08, 55.0
1961-02-11 00:00:00, 21.0, 31.4, 24.88, 0.0
1961-02-12 00:00:00, 20.8, 30.8, 24.12, 0.0
1961-02-13 00:00:00, 20.4, 29.9, 24.06, 25.0
1961-02-14 00:00:00, 19.0, 29.9, 23.74, 0.0
1961-02-15 00:00:00, 17.0, 28.3, 22.34, 0.0
1961-02-16 00:00:00, 17.8, 26.6, 22.28, 0.0
1961-02-17 00:00:00, 19.6, 28.4, 23.2, 0.0
1961-02-18 00:00:00, 19.8, 29.3, 23.34, 10.0
1961-02-19 00:00:00, 19.4, 32.4, 24.36, 0.0
1961-02-20 00:00:00, 20.0, 30.9, 24.38, 0.0
1961-02-21 00:00:00, 21.0, 30.9, 24.18, 0.0
1961-02-22 00:00:00, 20.0, 29.7, 23.76, 10.0
1961-02-23 00:00:00, 21.0, 29.9, 23.38, 0.0
1961-02-24 00:00:00, 20.6, 26.4, 23.04, 2.0
1961-02-25 00:00:00, 20.0, 27.4, 23.84, 3.0
1961-02-26 00:00:00, 21.0, 28.3, 23.46, 2.0
1961-02-27 00:00:00, 20.0, 24.0, 21.72, 11.0
1961-02-28 00:00:00, 20.0, 24.0, 21.92, 24.0
1961-03-01 00:00:00, 19.0, 27.4, 22.28, 3.0
1961-03-02 00:00:00, 18.0, 29.4, 23.32, 0.0
1961-03-03 00:00:00, 17.6, 29.9, 24.38, 0.0
1961-03-04 00:00:00, 20.8, 28.5, 25.02, 0.0
1961-03-05 00:00:00, 20.0, 27.0, 22.6, 5.0
1961-03-06 00:00:00, 17.6, 24.6, 21.64, 45.0
1961-03-07 00:00:00, 19.6, 25.0, 22.52, 0.0
1961-03-08 00:00:00, 19.4, 29.0, 23.68, 0.0
1961-03-09 00:00:00, 19.0, 31.2, 25.4, 0.0
1961-03-10 00:00:00, 21.0, 32.0, 26.92, 0.0
1961-03-11 00:00:00, 21.0, 33.0, 27.0, 0.0
1961-03-12 00:00:00, 22.0, 33.4, 26.68, 0.0
1961-03-13 00:00:00, 21.0, 32.8, 26.16, 0.0
1961-03-14 00:00:00, 21.0, 31.9, 25.78, 0.0
1961-03-15 00:00:00, 21.0, 31.8, 26.2, 0.0
1961-03-16 00:00:00, 21.0, 31.8, 25.84, 4.0
1961-03-17 00:00:00, 21.0, 29.5, 24.64, 0.0
1961-03-18 00:00:00, 17.9, 24.0, 20.98, 2.0
1961-03-19 00:00:00, 17.0, 25.4, 20.68, 0.0
1961-03-20 00:00:00, 17.0, 28.3, 22.74, 1.0
1961-03-21 00:00:00, 18.0, 31.4, 25.36, 0.0
1961-03-22 00:00:00, 20.6, 32.5, 26.5, 0.0
1961-03-23 00:00:00, 21.0, 32.4, 26.48, 0.0
1961-03-24 00:00:00, 21.0, 32.8, 26.56, 7.0
1961-03-25 00:00:00, 21.0, 32.4, 26.28, 0.0
1961-03-26 00:00:00, 21.0, 33.4, 25.48, 0.0
1961-03-27 00:00:00, 16.0, 27.7, 21.22, 10.0
1961-03-28 00:00:00, 15.6, 27.3, 20.86, 0.0
1961-03-29 00:00:00, 15.0, 27.5, 20.9, 0.0
1961-03-30 00:00:00, 14.0, 27.7, 21.34, 0.0
1961-03-31 00:00:00, 14.4, 29.6, 22.8, 0.0
1961-04-01 00:00:00, 17.0, 30.8, 23.4, 0.0
1961-04-02 00:00:00, 19.0, 30.4, 23.88, 2.0
1961-04-03 00:00:00, 19.0, 26.3, 22.46, 2.0
