data,temp_min,temp_max,temp_media,precipitacao
1971-11-01 00:00:00, 19.0, 28.6, 21.92, 0.0
1971-11-02 00:00:00, 14.0, 30.0, 22.96, 26.0
1971-11-03 00:00:00, 18.0, 30.5, 23.46, 0.0
1971-11-04 00:00:00, 14.8, 30.0, 23.48, 0.0
1971-11-05 00:00:00, 15.9, 31.0, 23.94, 0.0
1971-11-06 00:00:00, 20.6, 33.0, 25.76, 0.0
1971-11-07 00:00:00, 18.7, 31.4, 24.54, 0.0
1971-11-08 00:00:00, 20.0, 30.4, 24.2, 0.0
1971-11-09 00:00:00, 18.8, 30.2, 23.58, 0.0
1971-11-10 00:00:00, 19.0, 31.5, 23.98, 0.0
1971-11-11 00:00:00, 21.1, 31.2, 25.28, 0.0
1971-11-12 00:00:00, 20.0, 29.0, 23.48, 0.0
1971-11-13 00:00:00, 18.7, 29.2, 22.4, 13.0
1971-11-14 00:00:00, 19.0, 29.0, 23.76, 5.0
1971-11-15 00:00:00, 17.5, 31.4, 24.18, 0.0
1971-11-16 00:00:00, 20.2, 32.8, 25.28, 0.0
1971-11-17 00:00:00, 21.0, 28.9, 23.58, 0.0
1971-11-18 00:00:00, 19.9, 27.9, 23.2, 0.0
1971-11-19 00:00:00, 19.6, 27.0, 22.42, 5.3
1971-11-20 00:00:00, 19.5, 27.0, 22.48, 0.0
1971-11-21 00:00:00, 18.0, 23.8, 21.32, 0.0
1971-11-22 00:00:00, 17.0, 25.4, 20.52, 0.0
1971-11-23 00:00:00, 15.8, 28.5, 19.54, 0.5
1971-11-24 00:00:00, 14.4, 28.5, 22.46, 22.3
1971-11-25 00:00:00, 17.0, 30.0, 23.08, 0.0
1971-11-26 00:00:00, 18.5, 30.0, 24.02, 24.4
1971-11-27 00:00:00, 19.0, 31.0, 23.52, 1.0
1971-11-28 00:00:00, 18.0, 29.0, 22.52, 0.0
1971-11-29 00:00:00, 19.5, 30.8, 23.54, 0.0
1971-11-30 00:00:00, 19.0, 30.0, 23.52, 1.0
1971-12-01 00:00:00, 19.6, 29.8, 23.5, 0.0
1971-12-02 00:00:00, 20.2, 30.2, 24.3, 0.1
1971-12-03 00:00:00, 20.5, 30.4, 24.56, 1.0
1971-12-04 00:00:00, 18.5, 25.0, 20.66, 7.2
1971-12-05 00:00:00, 16.2, 28.8, 21.38, 1.6
